60.191.38.77 - - [10/Feb/2018:21:26:30 -0700] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [10/Feb/2018:22:24:54 -0700] "GET /profile.html HTTP/1.1" 200 980 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:24:54 -0700] "GET /node/info HTTP/1.1" 200 91 "http://localhost/profile.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:24:55 -0700] "GET /node/logout HTTP/1.1" 302 46 "http://localhost/profile.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:24:55 -0700] "GET / HTTP/1.1" 200 173 "http://localhost/profile.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:26:28 -0700] "GET /node/ HTTP/1.1" 302 66 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:28:23 -0700] "POST /node/login HTTP/1.1" 302 46 "http://localhost/login.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:28:23 -0700] "GET / HTTP/1.1" 200 173 "http://localhost/login.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:28:26 -0700] "GET /node/ HTTP/1.1" 302 64 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:28:26 -0700] "GET /home.html HTTP/1.1" 200 319 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [10/Feb/2018:22:28:26 -0700] "GET /home.js HTTP/1.1" 200 301 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
